source,target
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,11
0,15
0,16
0,20
0,21
0,24
0,25
0,26
0,27
0,29
0,36
0,37
0,42
0,49
0,51
0,58
0,61
0,66
0,74
0,83
0,99
0,107
0,113
0,123
0,128
0,142
0,157
0,162
0,163
0,168
0,188
0,200
0,213
0,218
0,250
0,259
0,282
0,287
0,292
0,294
0,297
0,302
0,303
0,304
0,321
0,330
0,334
0,349
0,366
0,368
0,370
0,377
0,403
0,405
0,409
0,415
0,430
0,452
0,468
0,471
0,479
1,6
1,7
1,8
1,9
1,14
1,17
1,26
1,32
1,113
1,134
1,174
1,191
1,220
1,236
1,337
1,341
1,371
1,452
1,459
1,480
2,6
2,7
2,12
2,18
2,28
2,60
2,83
2,106
2,119
2,134
2,155
2,175
2,216
2,229
2,298
2,299
2,384
2,401
2,406
3,6
3,7
3,8
3,9
3,10
3,11
3,14
3,16
3,17
3,18
3,19
3,29
3,31
3,33
3,34
3,43
3,45
3,46
3,48
3,53
3,56
3,58
3,60
3,65
3,67
3,71
3,73
3,77
3,80
3,90
3,101
3,110
3,121
3,149
3,150
3,167
3,168
3,205
3,218
3,234
3,266
3,272
3,286
3,289
3,290
3,293
3,317
3,327
3,351
3,370
3,381
3,404
3,418
3,426
3,436
3,441
3,466
3,497
4,6
4,8
4,9
4,10
4,13
4,14
4,23
4,32
4,42
4,48
4,53
4,68
4,69
4,75
4,84
4,86
4,90
4,105
4,120
4,174
4,182
4,186
4,196
4,199
4,208
4,222
4,229
4,279
4,291
4,304
4,321
4,328
4,349
4,356
4,365
4,376
4,378
4,381
4,398
4,400
4,407
4,412
4,434
4,435
4,476
5,120
5,429
5,453
6,7
6,8
6,9
6,10
6,11
6,12
6,13
6,16
6,17
6,19
6,20
6,21
6,23
6,25
6,26
6,27
6,30
6,32
6,35
6,38
6,39
6,40
6,51
6,53
6,54
6,60
6,63
6,66
6,68
6,74
6,85
6,86
6,87
6,97
6,122
6,126
6,130
6,133
6,137
6,140
6,143
6,152
6,173
6,181
6,199
6,200
6,206
6,207
6,221
6,237
6,240
6,244
6,264
6,265
6,266
6,288
6,309
6,310
6,316
6,322
6,330
6,335
6,355
6,362
6,364
6,369
6,378
6,386
6,394
6,410
6,447
6,492
7,8
7,9
7,10
7,11
7,12
7,13
7,14
7,15
7,20
7,21
7,22
7,23
7,25
7,28
7,29
7,32
7,33
7,34
7,36
7,37
7,41
7,47
7,50
7,56
7,59
7,63
7,64
7,71
7,80
7,93
7,94
7,97
7,102
7,104
7,105
7,114
7,116
7,120
7,121
7,132
7,147
7,151
7,152
7,157
7,161
7,171
7,172
7,179
7,184
7,189
7,205
7,207
7,210
7,219
7,230
7,243
7,258
7,260
7,264
7,274
7,276
7,292
7,310
7,333
7,342
7,346
7,348
7,350
7,353
7,354
7,358
7,359
7,363
7,366
7,372
7,375
7,380
7,386
7,403
7,426
7,431
7,448
7,450
7,455
7,457
7,460
7,481
8,13
8,14
8,15
8,24
8,54
8,55
8,57
8,60
8,72
8,77
8,98
8,104
8,107
8,116
8,117
8,124
8,146
8,157
8,172
8,178
8,204
8,211
8,233
8,236
8,286
8,349
8,382
8,433
8,453
8,463
8,476
9,10
9,12
9,13
9,15
9,17
9,21
9,22
9,33
9,35
9,37
9,40
9,42
9,46
9,54
9,55
9,56
9,61
9,64
9,65
9,66
9,67
9,71
9,90
9,92
9,95
9,100
9,108
9,111
9,113
9,123
9,127
9,129
9,130
9,137
9,138
9,139
9,140
9,142
9,143
9,166
9,171
9,176
9,177
9,178
9,196
9,209
9,226
9,232
9,242
9,257
9,263
9,274
9,281
9,297
9,301
9,307
9,345
9,354
9,363
9,368
9,371
9,374
9,377
9,380
9,397
9,401
9,438
9,462
9,478
10,11
10,12
10,18
10,24
10,28
10,31
10,39
10,40
10,63
10,75
10,78
10,81
10,83
10,84
10,85
10,95
10,98
10,101
10,111
10,119
10,122
10,126
10,127
10,129
10,131
10,139
10,186
10,190
10,242
10,251
10,268
10,269
10,278
10,295
10,297
10,308
10,325
10,357
10,366
10,367
10,413
10,444
10,474
10,499
11,16
11,17
11,22
11,24
11,27
11,38
11,39
11,41
11,42
11,45
11,50
11,52
11,61
11,71
11,78
11,88
11,91
11,103
11,113
11,123
11,127
11,130
11,153
11,166
11,171
11,229
11,232
11,247
11,248
11,271
11,289
11,291
11,295
11,313
11,321
11,326
11,338
11,340
11,342
11,372
11,388
11,399
11,408
11,421
11,456
11,458
11,467
11,480
12,33
12,36
12,47
12,49
12,52
12,58
12,59
12,65
12,68
12,87
12,97
12,103
12,109
12,110
12,135
12,144
12,152
12,163
12,178
12,179
12,215
12,216
12,235
12,243
12,246
12,252
12,253
12,258
12,265
12,268
12,273
12,280
12,320
12,329
12,348
12,350
12,367
12,393
12,407
12,415
12,446
12,460
12,464
12,466
12,490
13,20
13,29
13,30
13,41
13,59
13,70
13,84
13,92
13,98
13,127
13,156
13,164
13,177
13,204
13,212
13,214
13,216
13,222
13,225
13,280
13,323
13,329
13,331
13,339
13,364
13,384
13,392
13,456
14,15
14,18
14,22
14,23
14,47
14,52
14,88
14,136
14,158
14,160
14,172
14,183
14,242
14,282
14,292
14,314
14,446
14,474
14,482
15,16
15,19
15,20
15,22
15,25
15,27
15,28
15,30
15,36
15,40
15,44
15,57
15,66
15,67
15,72
15,74
15,81
15,82
15,84
15,90
15,95
15,103
15,110
15,112
15,117
15,127
15,134
15,138
15,144
15,190
15,192
15,199
15,205
15,208
15,213
15,221
15,246
15,263
15,281
15,291
15,338
15,386
15,387
15,389
15,425
15,430
15,444
15,459
15,491
15,493
16,19
16,26
16,29
16,44
16,46
16,49
16,57
16,67
16,78
16,79
16,91
16,103
16,110
16,114
16,121
16,135
16,146
16,158
16,181
16,187
16,202
16,227
16,315
16,317
16,321
16,382
16,416
16,472
17,18
17,19
17,31
17,47
17,51
17,62
17,70
17,74
17,75
17,77
17,83
17,96
17,141
17,142
17,183
17,202
17,203
17,222
17,267
17,284
17,320
17,335
17,339
17,389
17,395
17,416
17,424
17,465
18,24
18,34
18,76
18,125
18,226
18,233
18,239
18,241
18,244
18,318
18,341
18,364
18,426
18,429
19,21
19,35
19,55
19,81
19,101
19,107
19,118
19,121
19,122
19,145
19,172
19,247
19,285
19,438
19,455
20,30
20,31
20,43
20,47
20,78
20,107
20,192
20,212
20,215
20,217
20,283
20,288
20,395
20,425
20,495
21,23
21,28
21,31
21,35
21,39
21,42
21,43
21,44
21,46
21,48
21,50
21,52
21,54
21,58
21,62
21,65
21,69
21,79
21,80
21,94
21,101
21,103
21,108
21,115
21,122
21,125
21,132
21,147
21,170
21,185
21,220
21,232
21,245
21,272
21,278
21,292
21,324
21,355
21,356
21,372
21,373
21,375
21,390
21,402
21,469
21,478
22,25
22,35
22,91
22,128
22,130
22,149
22,150
22,285
22,288
22,383
22,400
22,433
22,496
23,34
23,50
23,59
23,61
23,62
23,76
23,100
23,106
23,136
23,154
