source,target
0,49
0,130
0,397
0,666
0,737
0,970
1,47
1,66
1,379
1,492
1,554
1,560
1,621
1,834
1,894
2,60
2,291
2,326
2,834
2,892
3,127
3,512
3,836
3,933
3,973
4,10
4,84
4,288
4,357
4,384
4,494
4,499
4,559
4,573
4,700
4,960
5,55
5,108
5,316
5,390
5,436
5,524
5,527
5,570
5,635
5,681
5,752
6,133
6,177
6,399
6,533
6,799
6,939
7,136
7,177
7,500
7,741
7,784
7,862
7,908
8,35
8,114
8,553
8,578
8,622
8,700
8,893
8,958
9,11
9,107
9,174
9,262
9,307
9,504
9,624
9,648
9,736
9,843
9,934
10,20
10,152
10,601
10,684
11,86
11,117
11,140
11,235
11,249
11,305
11,320
11,338
11,500
11,603
11,691
12,225
12,241
12,380
12,533
12,695
12,714
13,133
13,160
13,516
13,535
13,557
14,26
14,102
14,733
14,816
14,892
15,16
15,374
15,444
15,701
15,747
15,781
15,907
15,911
15,975
16,51
16,56
16,94
16,129
16,134
16,224
16,265
16,549
16,656
16,678
16,832
16,854
17,66
17,355
17,770
18,440
18,641
18,680
18,795
19,315
19,418
19,616
20,152
20,251
20,284
20,355
20,810
20,932
20,983
21,314
21,389
21,470
21,547
21,691
21,730
21,887
22,42
22,74
22,179
22,708
22,791
22,878
22,913
23,280
23,631
23,854
24,28
24,220
24,223
24,299
24,458
24,472
24,553
24,718
24,777
24,903
25,72
25,144
25,459
25,526
25,579
25,632
25,663
25,749
25,760
25,846
25,902
26,120
26,123
26,129
26,267
26,526
26,630
26,671
26,815
26,947
27,96
27,213
27,373
27,399
27,415
27,438
27,517
27,545
27,698
27,807
27,999
28,74
28,107
28,657
28,778
28,846
28,893
28,928
29,67
29,445
29,490
29,650
29,702
29,770
29,831
29,938
30,366
30,443
30,643
30,689
30,804
30,815
31,100
31,118
31,137
31,179
31,336
31,723
31,735
31,744
32,129
32,135
32,361
32,623
32,670
32,777
32,966
33,382
33,394
33,453
33,474
33,552
33,588
33,633
33,669
33,746
33,747
33,865
33,891
33,905
34,158
34,364
34,437
34,739
34,802
34,812
35,127
35,131
35,383
35,453
35,623
35,669
36,140
36,153
37,54
37,160
37,221
37,489
37,718
37,753
37,846
37,895
37,918
37,944
38,135
38,165
38,175
38,209
38,230
38,299
38,346
39,257
39,329
39,332
39,453
39,800
39,899
39,997
40,431
40,660
40,717
40,959
41,211
41,460
41,588
42,267
42,373
42,391
42,459
42,685
42,707
42,900
43,173
43,455
43,678
43,951
44,167
44,425
44,436
44,870
44,976
45,136
45,425
45,461
45,601
45,774
45,779
45,897
46,97
46,342
46,578
46,705
46,892
47,438
47,513
47,547
47,630
47,725
48,270
48,544
48,588
48,657
48,730
48,838
48,982
49,113
49,249
49,289
49,441
49,477
49,593
49,619
49,715
50,64
50,133
50,150
50,298
50,344
50,405
50,556
50,638
50,690
50,751
50,832
50,928
50,984
51,60
51,79
51,158
51,178
51,213
51,299
51,543
51,585
51,768
52,292
52,394
52,412
52,505
52,612
52,630
52,800
52,936
52,946
52,982
52,983
53,132
53,302
53,376
53,547
53,628
53,834
53,892
54,281
54,479
54,998
55,71
55,137
55,214
55,226
55,228
55,283
55,714
56,106
56,255
56,358
56,597
57,62
57,93
57,266
57,413
57,526
57,528
57,614
57,652
57,861
57,913
57,926
58,204
58,347
58,614
58,868
58,913
59,113
59,130
59,222
59,478
59,643
59,998
60,276
60,365
60,491
60,516
60,545
60,756
60,979
61,234
61,306
61,719
61,816
61,895
61,912
62,168
62,254
62,373
62,486
62,511
62,607
62,623
62,628
63,431
63,531
63,632
63,657
63,835
63,901
63,937
64,147
64,527
64,529
64,564
64,947
65,170
65,266
65,729
65,766
65,968
66,133
66,145
66,937
67,77
67,111
67,445
67,454
67,516
67,588
67,828
68,141
68,176
68,194
68,233
68,280
68,587
68,866
68,884
68,924
69,283
69,642
69,799
70,373
70,562
70,578
70,831
70,925
71,109
71,296
71,377
71,384
71,416
71,753
71,786
72,221
72,332
72,342
72,462
72,845
72,883
73,156
73,162
73,200
73,334
73,370
73,371
73,392
73,616
73,696
73,702
73,767
73,888
74,125
74,175
74,217
74,346
74,449
74,578
74,752
74,807
74,913
75,311
75,459
75,625
75,942
76,106
76,280
76,313
76,906
77,516
77,587
77,614
77,904
77,932
77,975
78,166
78,231
78,320
78,353
78,415
78,440
78,474
78,683
78,748
79,432
79,484
79,515
79,660
80,230
80,282
80,371
80,531
80,586
80,650
80,845
81,116
81,409
81,450
81,523
81,629
81,809
82,113
82,269
82,386
82,570
82,597
83,210
83,620
83,702
83,850
83,961
84,109
84,256
84,300
84,322
84,337
84,449
84,720
84,925
84,930
84,983
85,238
85,308
85,533
85,658
85,791
85,871
86,117
86,436
86,606
86,614
86,813
87,595
87,628
87,932
87,934
88,134
88,151
88,226
88,296
88,438
88,441
88,561
88,658
89,100
89,189
89,212
89,405
89,407
89,800
89,931
89,967
89,974
90,296
90,415
90,448
90,477
90,677
90,715
90,847
90,906
90,927
90,954
90,985
91,131
91,222
91,433
91,478
91,800
92,277
92,418
92,654
93,138
93,272
93,296
93,625
93,719
93,887
94,152
94,157
94,177
94,424
94,469
94,601
94,779
94,889
94,924
95,374
95,613
95,675
95,842
96,248
96,271
96,321
96,645
96,811
96,852
96,939
97,246
97,486
97,489
97,613
97,767
98,221
98,231
98,395
98,650
98,652
99,246
99,411
99,600
99,615
99,689
99,789
99,832
99,971
99,990
100,347
100,583
100,626
100,662
100,781
100,811
100,841
101,122
101,236
101,283
101,475
101,622
101,912
101,982
101,989
102,280
102,330
102,858
102,877
102,886
102,927
103,215
103,349
103,461
103,512
103,686
103,757
103,813
104,331
104,357
104,770
104,892
105,126
105,147
105,299
105,391
105,416
105,912
105,991
106,385
106,489
106,714
107,276
107,370
107,465
107,517
107,694
107,774
108,264
108,274
108,514
108,706
108,872
108,968
109,158
109,317
109,466
109,597
109,941
110,222
110,338
110,362
110,455
110,671
110,674
110,696
111,491
111,532
111,579
111,594
111,663
111,945
112,439
112,486
112,957
113,378
113,386
113,899
114,224
114,316
114,442
114,652
114,681
114,801
114,857
114,903
115,139
115,375
116,200
116,346
116,371
116,548
116,711
117,155
117,298
117,307
117,465
117,870
117,943
117,980
118,290
118,333
118,443
118,499
118,583
118,681
118,913
119,507
119,654
119,716
119,751
120,205
120,308
120,538
120,757
120,930
121,193
121,208
121,255
121,319
121,501
121,529
121,904
122,290
122,365
122,425
122,823
122,900
123,172
123,183
123,313
123,354
123,388
123,439
123,656
123,691
123,708
123,828
124,323
124,493
124,553
124,748
124,918
124,922
125,126
125,160
125,296
125,439
125,688
125,812
125,930
125,962
126,334
126,350
126,409
126,607
126,940
126,982
127,308
127,459
127,521
127,694
127,971
128,348
128,351
128,374
128,406
128,424
128,582
128,656
128,882
128,956
129,439
129,497
129,660
129,919
130,270
130,336
130,441
130,594
130,625
130,642
131,304
131,613
132,271
132,286
132,957
133,304
133,566
133,783
133,788
133,921
133,958
134,257
134,450
134,741
134,852
135,276
135,313
135,397
135,405
135,438
135,675
135,901
135,957
135,969
136,336
137,145
137,253
137,316
137,749
137,768
138,331
138,394
138,550
138,718
138,733
138,801
138,964
139,394
139,547
139,602
140,322
140,387
140,461
140,560
140,804
140,927
140,977
141,376
141,463
141,694
141,858
141,956
141,963
142,178
142,429
142,468
