source,target
0,159
0,25
0,20
0,62
0,54
0,94
0,48
0,23
0,32
0,183
0,172
0,145
0,28
0,151
0,42
0,181
0,81
0,63
1,69
1,66
1,46
1,50
1,5
2,191
2,26
2,13
2,111
2,116
2,67
2,17
2,196
2,43
2,113
2,193
2,23
2,128
2,157
3,196
3,102
3,144
3,175
3,147
4,106
4,147
4,103
4,188
4,125
5,196
5,150
5,152
5,155
6,176
6,148
6,49
6,145
6,178
7,121
7,174
7,150
7,129
7,90
8,131
8,80
8,114
8,39
8,125
9,87
9,75
9,185
9,114
9,128
10,120
10,56
10,104
10,70
10,38
11,13
11,43
11,82
11,58
11,80
12,179
12,129
12,15
12,61
12,197
13,188
13,67
13,34
14,158
14,82
14,178
14,97
14,199
15,194
15,54
15,82
15,137
16,122
16,77
16,186
16,149
16,60
17,107
17,105
17,74
17,153
17,176
17,123
18,92
18,196
18,123
18,31
18,45
19,183
19,66
19,126
19,173
19,67
20,44
20,196
20,159
20,139
21,159
21,196
21,62
21,111
21,189
22,29
22,38
22,152
22,103
22,98
23,24
23,163
23,130
24,198
24,91
24,67
24,29
24,188
24,37
24,141
24,179
24,116
24,182
24,133
24,75
25,131
25,198
25,101
25,56
26,135
26,117
26,196
26,127
26,67
26,30
26,132
27,127
27,60
27,129
27,151
27,162
28,196
28,177
28,129
28,67
29,113
29,188
29,108
30,82
30,154
30,97
31,67
31,48
31,98
31,156
32,110
32,138
32,154
32,162
33,48
33,174
33,196
33,103
33,34
34,151
34,188
34,197
35,104
35,138
35,111
35,109
35,61
36,196
36,49
36,181
36,186
36,144
37,176
37,129
37,163
37,61
38,143
38,105
38,166
39,88
39,148
39,135
39,87
40,165
40,158
40,194
40,73
41,146
41,176
41,54
41,55
41,102
42,133
42,63
42,160
43,84
43,57
43,133
44,199
44,86
45,71
45,90
45,157
45,196
46,192
46,129
46,90
46,150
47,187
47,155
47,181
47,137
47,49
48,53
48,161
49,86
49,145
50,173
50,59
50,174
50,117
51,56
51,184
51,86
51,129
51,163
52,167
52,89
52,113
52,171
52,198
53,96
53,112
53,170
53,85
54,143
54,78
55,105
55,84
55,95
55,94
56,189
56,190
57,100
57,162
57,135
57,184
58,88
58,92
58,199
58,181
59,165
59,65
59,114
59,63
60,181
60,112
60,100
61,193
61,144
61,79
61,77
61,121
61,141
61,138
62,166
62,189
62,185
63,124
63,140
63,96
63,168
63,69
63,139
64,89
64,66
64,188
64,150
64,107
65,131
65,129
65,141
65,170
66,196
66,110
67,108
67,196
67,186
67,197
67,146
67,188
67,126
67,129
67,78
67,83
67,159
67,112
67,160
67,117
67,184
68,147
68,190
68,98
68,78
68,172
69,112
69,164
69,79
70,183
70,91
70,196
70,107
71,121
71,150
71,179
71,108
72,173
72,112
72,142
72,145
72,125
73,169
73,170
73,150
74,109
74,81
74,169
74,177
75,101
75,150
75,199
76,187
76,151
76,196
76,144
76,156
77,91
77,174
77,115
78,87
78,193
78,136
78,153
78,96
79,83
79,185
79,104
80,165
80,194
80,159
81,129
81,143
81,110
82,164
83,156
83,94
83,196
84,152
84,144
84,129
85,168
85,140
85,90
85,130
86,153
86,198
87,182
87,150
88,137
88,146
88,128
89,94
89,162
89,106
90,160
91,98
91,129
92,170
92,127
92,93
93,110
93,171
93,124
93,196
94,165
95,119
95,123
95,172
95,175
96,123
96,117
97,109
97,157
97,129
98,192
99,159
99,173
99,196
99,187
99,120
100,196
100,195
100,148
101,162
101,119
101,199
102,116
102,196
102,142
103,128
103,184
104,196
104,182
105,111
105,161
106,129
106,193
106,173
107,131
107,139
107,126
107,148
107,149
108,181
108,133
109,114
109,127
110,196
111,126
112,134
112,166
112,196
112,141
113,169
113,185
114,155
115,178
115,171
115,160
115,196
116,186
116,158
116,156
116,145
117,167
118,180
118,159
118,134
118,129
118,183
119,159
119,188
119,189
120,135
120,168
120,191
121,196
121,170
122,147
122,156
122,196
122,129
123,146
124,192
124,140
124,196
125,134
125,181
126,196
126,150
127,159
128,181
128,136
128,180
129,196
129,155
129,158
129,179
130,164
130,159
130,153
131,196
132,195
132,194
132,171
132,198
133,188
134,167
134,188
135,146
136,179
136,192
136,164
137,161
137,177
138,158
138,190
139,163
139,197
140,175
140,159
141,180
142,160
142,161
142,152
143,146
143,196
146,196
146,150
147,189
148,191
149,196
149,171
149,181
150,188
150,197
150,191
150,196
151,175
152,179
153,163
154,174
154,175
155,195
157,185
157,178
159,193
161,178
164,182
165,196
166,181
166,190
167,177
167,196
168,181
168,179
169,196
169,186
172,196
176,192
177,195
180,196
180,194
181,187
182,190
183,196
184,187
191,195
